Filename,Category,Description (Prompt),Tags (Produtos Permitidos)
"unnamed (1).jpg,Urban,""Basketball court at sunset, urban skyline background, golden lighting"",tenis, bones, roupas esportivas, shorts, camisetas, moletom"
"unnamed (2).jpg,Urban,""Empty concrete floor with city background, industrial vibe"",tenis, streetwear, jaquetas, jeans, camisetas, bones"
"unnamed (3).jpg,Nature,""Dirt path in green forest, dappled sunlight"",botas, casacos, roupas de inverno, jeans, casual"
"unnamed (4).jpg,Urban,""City skyline at night with bokeh lights"",vestido de festa, salto alto, terno, blazer, roupas de noite, brilho"
"unnamed (5).jpg,Social,""Grand staircase outdoors with stone columns"",vestido longo, vestido de noiva, terno, roupas formais, salto alto"
"unnamed (6).jpg,Social,""Modern building exterior with glass windows"",terno, blazer, camisa social, calca alfaiataria, scarpin, executivo"
"unnamed (7).jpg,Nature,""Green grass field with blue sky"",vestido casual, roupas leves, sandalias, chapeus, piquenique"
"unnamed (8).jpg,Urban,""Minimalist concrete wall with light and shadow"",streetwear, jeans, camisetas, oculos de sol, tenis casual, bolsas"
"unnamed (9).jpg,Beach,""Wooden deck by the pool with ocean view"",biquini, maio, sunga, saida de praia, oculos de sol, chinelo, chapeu"
"unnamed (10).jpg,Beach,""Beach cabana with white curtains blowing in wind"",biquini, maio, roupas de linho, vestidos de praia, chapeu"
"unnamed (11).jpg,Beach,""Tropical beach with palm trees on white sand"",biquini, maio, sunga, short de praia, oculos de sol"
"unnamed (12).jpg,Beach,""Modern balcony overlooking sunset ocean"",vestido de verao, roupas leves, linho, oculos de sol, casual chic"
"unnamed (13).jpg,Party,""Outdoor night party with string lights"",vestido de festa, roupas de balada, salto alto, maquiagem, acessorios"
"unnamed (14).jpg,Beach,""Wooden pier extending into foggy water"",roupas de frio leves, jeans, corta vento, tenis casual, fotos artisticas"
"unnamed (15).jpg,Nature,""Bamboo garden path with modern architecture"",roupas de yoga, fitness, roupas leves, casual, sandalias"
"unnamed (16).jpg,Beach,""Hammock in tropical garden"",biquini, maio, roupas de descanso, short, top"
"unnamed (17).jpg,Nature,""Greenhouse interior with plants"",vestido floral, roupas romanticas, tons pastéis, sandalias"
"unnamed (18).jpg,Nature,""Flower garden path"",vestido, saia, blusa leve, sapatilha, estilo camponesa"
"unnamed (19).jpg,Beach,""White stone stairs Santorini style"",vestido longo, azul e branco, roupas de verao, oculos, chapeu"
"unnamed (20).jpg,Nature,""Dark forest path, moody lighting"",casaco, bota, roupas de inverno, couro, tons escuros"
"unnamed (21).jpg,Nature,""Lavender field at sunset"",vestido, saia longa, chapeu, roupas romanticas, cores claras"
"unnamed (22).jpg,Nature,""Green vertical garden wall"",casual, jeans, camiseta, maquiagem, acessorios de rosto"
"unnamed (23).jpg,Nature,""Zen stone garden"",roupas de yoga, linho, roupas confortaveis, descalco"
"unnamed (24).jpg,Nature,""Stone archway in forest"",vestido de conto de fadas, fantasia, roupas de epoca, capas"
"unnamed (25).jpg,Winter,""Autumn forest path with orange leaves"",sobretudo, cachecol, bota, luvas, roupas de la"
"unnamed (26).jpg,Urban,""White minimalist studio room"",qualquer roupa, lookbook, catalogo, e-commerce, foto limpa"
"unnamed (27).jpg,Nature,""Golden wheat field under blue sky"",jeans, camisa xadrez, botas, estilo country, chapeu"
"unnamed (28).jpg,Urban,""Dark grunge concrete wall with spotlight"",streetwear, couro, preto, rock, tenis, atitude"
"unnamed (29).jpg,Urban,""Room with light casting geometric shadows"",lingerie, artistico, pijama, roupas intimas, ensaio"
"unnamed (30).jpg,Social,""Modern office corridor with glass walls"",terno, tailleur, roupa de trabalho, executiva, salto"
"unnamed (31).jpg,Party,""Blue velvet curtain stage background"",vestido de gala, terno de gala, joias, maquiagem noite"
"unnamed (32).jpg,Social,""White curtain flowing fabric background"",noiva, lingerie, vestido branco, roupas delicadas"
"unnamed (33).jpg,Urban,""Abstract geometric wall white"",moda futurista, oculos espelhados, roupas metalizadas, tenis"
"unnamed (34).jpg,Urban,""Textured brown grunge wall"",jeans, jaqueta de couro, camisetas de banda, botas"
"unnamed (35).jpg,Urban,""Narrow brick alleyway"",casual, street style, jeans rasgado, tenis, bone"
"unnamed (36).jpg,Urban,""White tiled tunnel futuristic"",roupas esportivas, techwear, tenis de corrida, futurista"
"unnamed (37).jpg,Urban,""Rooftop concrete floor with city view"",vestido de cocktail, roupa de sair, blazer, casual chic"
"unnamed (38).jpg,Urban,""Graffiti wall colorful"",streetwear, roupas coloridas, tenis, skate, hip hop"
"unnamed (39).jpg,Urban,""Street cafe exterior sunny"",casual, vestido de dia, jeans e camisa, oculos, bolsa"
"unnamed (40).jpg,Urban,""Underground concrete parking lot"",carro, jaqueta, streetwear pesado, tenis, fotos noturnas"
"unnamed (41).jpg,Urban,""Metal garage door industrial"",jeans, botas, estilo industrial, roupas de trabalho"
"unnamed (42).jpg,Urban,""Busy city street low angle"",terno, sobretudo, roupa de inverno urbana, estilo nova iorque"
"unnamed (43).jpg,Social,""Classic library interior dark wood"",terno tweed, oculos de grau, roupas classicas, estilo academico"
"unnamed (44).jpg,Social,""Modern white kitchen island"",pijama, roupas de casa, avental, casual conforto"
"unnamed (45).jpg,Urban,""Empty spacious white hall"",vestido de baile, roupas volumosas, fotos de movimento"
"unnamed (46).jpg,Social,""Boho chic living room"",roupas boho, vestidos soltos, estampas, descalco"
"unnamed (47).jpg,Social,""Grand hallway with checkered floor"",vestido preto, terno, roupas elegantes, salto alto"
"unnamed (48).jpg,Social,""Modern office meeting room"",blazer, camisa social, roupa de escritorio, oculos"
"unnamed (49).jpg,Social,""Cozy bedroom with white sheets"",lingerie, pijama, camisola, roupas de dormir"
"unnamed (50).jpg,Social,""Luxury mansion entrance stairs"",vestido de gala, longo, terno completo, joias"
"unnamed (51).jpg,Winter,""Attic room with skylight window"",moletom, roupas de frio casa, meias, conforto"
"unnamed (52).jpg,Beach,""Wooden boardwalk by the sea"",short, camiseta, chinelo, bone, casual praia"
"unnamed (53).jpg,Beach,""Water bungalow walkway"",vestido de resort, saida de praia, chapeu grande, luxo"
"unnamed (54).jpg,Beach,""Poolside lounge chairs sunset"",biquini, maio, drink, oculos de sol, festa na piscina"
"unnamed (55).jpg,Beach,""White terrace overlooking blue sea"",roupas brancas, linho, vestido leve, verao europeu"
"unnamed (56).jpg,Beach,""Infinity pool edge luxury"",biquini, costas nua, fotos de instagram, chapeu"
"unnamed (57).jpg,Beach,""Gazebo with ocean view"",casamento na praia, vestido leve, roupas de cerimonia"
"unnamed (58).jpg,Social,""Luxury hotel lobby interior"",malas de viagem, casaco de pele, roupas de viagem chiques"
"unnamed (59).jpg,Nature,""Stepping stones in pond garden"",quimono, roupas orientais, tecidos fluidos, descalco"
"unnamed (60).jpg,Nature,""Sunflower field bright day"",vestido amarelo, jeans, jardineira, roupas alegres"
"unnamed (61).jpg,Fitness,""Modern gym interior"",legging, top, tenis de academia, roupa de treino"
"unnamed (62).jpg,Fitness,""Yoga studio wood floor"",roupa de yoga, pilates, roupas elasticas, pes descalcos"
"unnamed (63).jpg,Fitness,""Running track outdoor"",short de corrida, camiseta dry fit, tenis de corrida, bone"
"unnamed (64).jpg,Fitness,""Crossfit box industrial"",roupas de compressao, tenis de treino, luvas, visual forte"
"unnamed (65).jpg,Fitness,""Tennis court green"",saia de tenis, polo, roupas brancas, viseira"
"unnamed (66).jpg,Fitness,""Basketball court street"",regata, bermuda larga, tenis de basquete, bone"
"unnamed (67).jpg,Party,""Red carpet event night"",vestido de gala, smoking, joias diamantes, maquiagem forte"
"unnamed (68).jpg,Party,""Nightclub neon lights"",vestido curto, brilho, paete, roupas de balada"
